n	n*n	#proc	run	time [s]	distance
2048	4194304	3	17	0.621036	6517.78
2048	4194304	3	18	0.62363	6515.68
2048	4194304	3	19	0.615672	6520.17
2048	4194304	4	0	0.532564	6514.83
2048	4194304	4	1	0.523146	6513.71
2048	4194304	4	2	0.533672	6518.64
2048	4194304	4	3	0.522885	6515.39
2048	4194304	4	4	0.522624	6515.52
2048	4194304	4	5	0.523564	6516.9
2048	4194304	4	6	0.532974	6520.47
2048	4194304	4	7	0.522399	6519.77
2048	4194304	4	8	0.531918	6518.49
2048	4194304	4	9	0.523346	6519.46
2048	4194304	4	10	0.521781	6519.44
2048	4194304	4	11	0.521513	6515.81
2048	4194304	4	12	0.534175	6519.75
2048	4194304	4	13	0.520461	6517.46
2048	4194304	4	14	0.531335	6514.71
2048	4194304	4	15	0.521697	6516.57
2048	4194304	4	16	0.522425	6515.83
2048	4194304	4	17	0.523129	6516.57
2048	4194304	4	18	0.531877	6518.62
2048	4194304	4	19	0.521897	6514.03
2048	4194304	5	0	0.468052	6519.24
